Poem ID,Title,Text,Speaker,Category
L02,,"Laika
When you they sent you into space, did they tell you it would hurt? 
Did they tell you that the stress would kill you within minutes?
That your poor little heart would give out from beating so fast, that your veins would fill with adrenaline-black blood, your eyes blown wide as planets with fear?
It’s so bright up there, Laika, girl.
Street dog, barker, little curly
You fell back to earth after a day, and the men who killed you insisted you were still alive
I believe you still are, somewhere
And I look down at my own pup- street dog, scared and angry just like you- and her moon eyes are so, so bright
Patron saint of one-way trips, you are, my dear, incredible
My girl only came to me because of you
And you, precious, precious baby, only went to the stars because of us
My patron saint of one way trips.",Second-Person,Laika
L03,"Come now, little space dog,","Come now, little space dog,
Oh Laika, what a brave space dog you are,
You may not be with us now;
But when we look up at the sky,
May we remember your soul;
You run around on Jupiter's moons,
Like the streets of Moscow on cold winter nights,
You chase comets,
As if they were little doves,
You bite down satellites,
You dance with stars,
The entirety of Space is your play-place;
When scientists use their telescopes,
They will surely go,
""My, look at her go! The whole abyss is her's to play with!"",
When astronauts go to the moon,
I hope they will cherish you with belly rubs,
We feel remorse for you;
Though, it seems you've become fond of your large field;
Oh, Laika,
May your story be told; and may you be cherished by the children as the space dog,
The stray dogs of Moscow cherish your story,
No one has forgotten you, little space dog,
And they never will. ",Second-Person,Laika
L04,First Dog in Space,"They say that, from space,
the Earth looks like a
small, blue ball, but how
did it look to you, Laika?
From that shuttle like a balloon
whose string they let go, and which
they never trained for recall?

They say that you were a stray
who never fought with other dogs,
and that the clever people called you pet names
through the wires of your shrinking cages,
and that, before you died, overheating
in that heavy, weightless cold, one of them
took you home, and you played with his kids.

They say that, from space,
the Earth looks like
a small, blue ball. I’ll throw it
for you, Laika, if you’ll chase it,

dart through the stratosphere
like a comet, undeserving
of its fate.",Second-Person,Laika
L07,Laika,"With your head rested on your paws
Strapped in, confused and afraid
The highest price you paid
For a cause that was not yours,
Your heart began to race
Somewhere, out there in space;

I would have taken you home
Played with you on the field
The bond between us sealed
As around the streets we'd roam,
Then curling up on the settee
After supper to watch TV;

For you the day we would have lightened
As amongst our joy and love
You could have looked up above
And not be frightened,
For you, Laika, we could have truly cared
And in our lives you could have shared;

Now that capsule is nought but dust
And dreams scattered all about
The stars that shone have all gone out
As man betrayed your trust,
But your spirit is still in place
Somewhere, out there in space.",Second-Person,Laika
L10,For the First Dog in Space,"You're being sent up in Sputnik 2,
a kind of octopus with rigor mortis.
Ground control have sworn allegiance
to gravity and the laws of motion;
they sleep without dreams,
safe in the knowledge
that a Russian mongrel bitch
can be blasted through the exosphere
at seven miles a second,
but can never stray far from home.
You will have no companion,
no buttons to press, just six days' air.
Laika, do not let yourself be fooled
by the absolute stillness
that comes only with not knowing
how fast you are going. As you fall
in orbit around the earth, remember
your language. Listen to star dust.
Trust your fear.",Second-Person,Laika
L11,Laika,"Moscow street-mutt, unloved
stray. Eleven pounds of bone,
of pelt, of tail. Who can weigh
the heart of dog? What dials
or instruments may measure
loyalty; the desire, hard-wired,
to obey? Dogs have no gods,
know only to worship the hand
that feeds. There is no canine
word for pray. Brave little
cosmonaut, faithful to a fault;
caught and collared, Earth no
more than a distant ball with
which you cannot play. How
the words that sent you on
your way crackle through
the ragged dishes of your ears,
a comet’s tail of breaking
syllables that even now leave
their trail: Laika, in. Laika, lay.
Good girl, Laika. Wait. Stay.",Second-Person,Laika
L12,"Laika (1954–1957)
","In the time it takes to make bread, a wild pasture.
Outside this thought, a song no longer than an inch.
If there is light, it’s pressing down on you.
Something stirs inside it.
It is not so much lust you experience as it is its recurring engine.
Boredom is not a new technology.
It has no apparent safety valve.
Recite that old line about cream rising.
Top as operative verb.
Verb being, in this instance, a hunger.
You can laugh.
Do it now, into this pinewood box, before the morning comes.
Try to transcribe it.
Be serious for extended periods of time.
See how your wardrobe changes to match.
Your uber has arrived.
Half-sick you stumble out through the sidewalk.
You recall asphalt but not its purpose.
Where are you supposed to go.
In the dark there is no knowing.
Once, a tiny satellite circled the earth carrying a dog.
There can be no word for a fear you cannot fathom.
An infinite future tires you out.",Second-Person,Laika
L15,,"you were small and fraught with fleas,
fragile in your glassy eyes and your
raw paw pads and your overgrown nails.
you wanted so badly to be loved,
that you let the first stranger with a
non-violent hand draw you into a cage.
you refused to bite that hand,
even when it smelled so tempting
that it made your mouth water,
even when it itched at your gums.
you were good, you were so fucking *good*—

and they killed you for it.

you jumped through every hoop,
took every needle pinch and
every sticky electrode pasted to your fur
with a smile and a wag of the tail,
cleared every test and didn’t even bite.
they fed you and they sheltered you
and they gave you adoring nicknames
for your voice and the texture of your fur.
you were good. you were so good.
when it came time to choose, they chose you.
they kept you because you didn’t bite.

they killed you because you didn’t bite.",Second-Person,Laika
L26,"Triolet for Laika, First Dog in Space","They sealed your steel sarcophagus;
they made no plans to bring you home.
(Perhaps they thought you Anubis.)
They sealed your steel sarcophagus
and let you burn—like Sirius,
the other dogstar in the dome.
They sealed your steel sarcophagus.
They made no plans to bring you home.",Second-Person,Laika
L27,Laika,"A humming bird treads an invisible thread
researching the leafless ground below;
a dissertation on silence.

You send balloons up,
haemoglobin bubbles in the sky
dispersing sudden thoughts like Apollo’s limbs –

maybe you do not want to be alone now,
(after that first fatal wish)
wait for the card to be returned; Wish you were here.
 
The weather is nuclear:
everything yellow like pickled fruit
or temporal grey; the complexion cadaver’s wear

You know that if you died, you would leave no ripple,
a skimming stone succumbing to gravity’s symmetry.

Days dissolve into weeks, months,
old conversations make your teeth chatter to themselves
your stomach the only reply for a hundred miles.",Second-Person,Laika
