"Stanza","Line","Line Text","Parse Rank","Parse Text","Parse Meter","Parse Stress","Length (#sylls)","Ambiguity (#parses)","Tension (#viols)","*w stress","*s unstress","*unres within","*foot size","*unres across","*w peak","*s trough","*pentameter","*iambic"
"1","1","i've lived my life in fathoms deep","1","i've LIVED my LIFE in FAT homs DEEP","-+-+-+-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","3","i've.lived MY life IN fat HOMS deep","--+-+-+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","4","i've LIVED my.life IN fat HOMS deep","-+--+-+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","5","i've LIVED my LIFE in.fat HOMS deep","-+-+--+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","6","i've LIVED my LIFE in FAT homs.deep","-+-+-+--","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","7","i've LIVED my LIFE in FAT.HOMS deep","-+-+-++-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","8","i've LIVED my LIFE.IN fat HOMS deep","-+-++-+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","9","i've LIVED.MY life IN fat HOMS deep","-++-+-+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","17","i've.lived MY life.in FAT homs DEEP","--+--+-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","18","i've.lived MY life IN fat.homs DEEP","--+-+--+","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","19","i've.lived MY life IN fat HOMS.DEEP","--+-+-++","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","20","i've.lived MY life IN.FAT homs DEEP","--+-++-+","-+-+-+-+","8","68","","","","","","","","","",""
