"Stanza","Line","Line Text","Parse Rank","Parse Text","Parse Meter","Parse Stress","Length (#sylls)","Ambiguity (#parses)","Tension (#viols)","*w stress","*s unstress","*unres within","*foot size","*unres across","*w peak","*s trough","*pentameter","*iambic"
"1","1","Moscow street-mutt, unloved","1","mos COW street MUTT un LOVED","-+-+-+","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","2","mos COW street MUTT UN loved","-+-++-","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","5","mos.cow STREET mutt un LOVED","--+--+","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","6","mos.cow STREET mutt UN loved","--+-+-","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","7","mos COW street.mutt un LOVED","-+---+","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","8","mos COW street.mutt UN loved","-+--+-","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","9","mos COW street MUTT un.loved","-+-+--","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","10","mos COW street MUTT UN.LOVED","-+-+++","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","11","mos COW.STREET mutt un LOVED","-++--+","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","12","mos COW.STREET mutt UN loved","-++-+-","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","21","mos.cow STREET mutt un.loved","--+---","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","22","mos.cow STREET mutt UN.LOVED","--+-++","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","23","mos.cow STREET.MUTT un LOVED","--++-+","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","24","mos.cow STREET.MUTT UN loved","--+++-","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","25","mos COW street.mutt un.loved","-+----","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","26","mos COW street.mutt UN.LOVED","-+--++","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","27","mos COW.STREET mutt un.loved","-++---","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","28","mos COW.STREET mutt UN.LOVED","-++-++","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","37","mos.cow STREET.MUTT un.loved","--++--","+-++-+","6","40","","","","","","","","","",""
"1","1","Moscow street-mutt, unloved","38","mos.cow STREET.MUTT UN.LOVED","--++++","+-++-+","6","40","","","","","","","","","",""
